Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days
T+0_R-20,Drought,0.0,-20.0,Kogi,2024,Middle,700.9680000000001,3787.005,7,31.41172897196261,23.980841121495335,80.40649532710282,16.695794392523368,-1.4699953007496385,214,214
T+0_R-20,Drought,0.0,-20.0,Kwara,2024,Middle,972.3120000000001,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,-0.7133664878923842,214,214
T+0_R-20,Drought,0.0,-20.0,Lagos,2024,South,1053.328,4739.834999999999,16,29.03090909090909,25.44061818181818,86.61469090909091,16.325090909090907,-1.385735600195618,275,275
T+0_R-20,Drought,0.0,-20.0,Nasarawa,2024,Middle,818.864,3821.105,16,31.623457943925235,24.087803738317753,78.61088785046731,17.359859813084114,-0.6069677424361107,214,214
T+0_R-20,Drought,0.0,-20.0,Niger,2024,Middle,726.9680000000001,3892.51,8,32.02266355140187,24.355934579439253,77.47570093457945,17.4807476635514,-1.613002095038387,214,214
T+0_R-20,Drought,0.0,-20.0,Ogun,2024,South,1284.48,4582.57,16,29.627236363636364,23.700545454545452,89.01341818181818,16.325090909090907,-1.0602094685713654,275,275
T+0_R-20,Drought,0.0,-20.0,Ondo,2024,South,1085.44,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-1.4213443679361026,275,275
T+0_R-20,Drought,0.0,-20.0,Osun,2024,South,1343.5440000000003,4410.16,20,29.385927272727276,22.687963636363634,88.06992727272726,15.928509090909092,-0.9064972671104886,275,275
T+0_R-20,Drought,0.0,-20.0,Oyo,2024,South,1306.04,4472.030000000001,19,29.674945454545455,22.848909090909093,87.58556363636363,15.93450909090909,-1.045621281368127,275,275
T+0_R-20,Drought,0.0,-20.0,Plateau,2024,Middle,1100.584,3065.7900000000004,9,28.977289719626164,19.67495327102804,77.79901869158877,16.974906542056075,0.5896499637152153,214,214
T+0_R-20,Drought,0.0,-20.0,Rivers,2024,South,1416.6799999999998,4714.629999999999,21,30.30472727272727,23.983490909090907,88.48505454545455,14.248981818181818,-1.3301910453543393,275,275
T+0_R-20,Drought,0.0,-20.0,Sokoto,2024,North,1090.8080000000002,3433.615,16,33.102663043478266,24.219239130434783,72.92222826086956,20.30445652173913,3.0208470900502062,184,184
T+0_R-20,Drought,0.0,-20.0,Taraba,2024,North,876.6800000000001,3227.08,13,31.396032608695656,23.68092391304348,77.71913043478261,16.88103260869565,-0.023387271847788927,184,184
T+0_R-20,Drought,0.0,-20.0,Yobe,2024,North,741.48,3455.5950000000003,31,33.55940217391304,24.001413043478262,66.63913043478261,20.06733695652174,0.6320977871172421,184,184
T+0_R-20,Drought,0.0,-20.0,Zamfara,2024,North,555.8960000000001,3260.6349999999998,17,32.69663043478261,22.745054347826088,70.14929347826086,19.637336956521736,-0.9828038277835861,184,184
T+0_R-30,Drought,0.0,-30.0,Abia,2024,South,949.5849999999999,4627.7,23,30.031090909090906,23.62490909090909,87.19501818181817,15.994727272727273,-1.7581326918170115,275,275
