Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
RandomForest,Enugu,2024,Mean_Solar_Radiation_MJ_m2_day,16.76098181818182,0.03626960711449768,0.03626960711449768
RandomForest,Enugu,2024,Rainfall_Anomaly_Z_2000_2019,-1.4811767773960565,-0.036157545001093375,0.036157545001093375
RandomForest,FCT,2024,Seasonal_Rainfall_mm,1154.31,0.012576210360922033,0.012576210360922033
RandomForest,FCT,2024,Seasonal_GDD_C,3569.07,0.19857511323018684,0.19857511323018684
RandomForest,FCT,2024,Max_CDD_days,11.0,-0.0015489750841604112,0.0015489750841604112
RandomForest,FCT,2024,Mean_Tmax_C,30.60518691588785,0.05206825466333847,0.05206825466333847
RandomForest,FCT,2024,Mean_Tmin_C,22.75060747663552,0.017733476039832028,0.017733476039832028
RandomForest,FCT,2024,Mean_RH_pct,80.45640186915888,0.028383617080188182,0.028383617080188182
RandomForest,FCT,2024,Mean_Solar_Radiation_MJ_m2_day,17.145467289719626,0.11021604433617722,0.11021604433617722
RandomForest,FCT,2024,Rainfall_Anomaly_Z_2000_2019,-0.0856823432362582,0.0030560712058275035,0.0030560712058275035
RandomForest,Gombe,2024,Seasonal_Rainfall_mm,1433.4500000000005,0.006194790605080017,0.006194790605080017
RandomForest,Gombe,2024,Seasonal_GDD_C,3255.21,0.150900622967146,0.150900622967146
RandomForest,Gombe,2024,Max_CDD_days,16.0,0.0521024523977929,0.0521024523977929
RandomForest,Gombe,2024,Mean_Tmax_C,31.93304347826087,0.056878496810032445,0.056878496810032445
RandomForest,Gombe,2024,Mean_Tmin_C,23.44967391304348,0.08226197326045247,0.08226197326045247
RandomForest,Gombe,2024,Mean_RH_pct,73.95494565217392,0.01398600994905864,0.01398600994905864
RandomForest,Gombe,2024,Mean_Solar_Radiation_MJ_m2_day,19.025163043478265,0.12861828666519126,0.12861828666519126
RandomForest,Gombe,2024,Rainfall_Anomaly_Z_2000_2019,2.8998050239842987,0.013258323866203165,0.013258323866203165
RandomForest,Imo,2024,Seasonal_Rainfall_mm,1603.58,0.012070126209384314,0.012070126209384314
RandomForest,Imo,2024,Seasonal_GDD_C,4689.094999999999,-0.3187942603628565,0.3187942603628565
RandomForest,Imo,2024,Max_CDD_days,21.0,0.0135797317874132,0.0135797317874132
RandomForest,Imo,2024,Mean_Tmax_C,30.22494545454545,0.13500309684537148,0.13500309684537148
RandomForest,Imo,2024,Mean_Tmin_C,23.87756363636364,-0.01562941442374708,0.01562941442374708
RandomForest,Imo,2024,Mean_RH_pct,87.54370909090908,-0.008908669734076658,0.008908669734076658
RandomForest,Imo,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,0.02688080775787993,0.02688080775787993
RandomForest,Imo,2024,Rainfall_Anomaly_Z_2000_2019,-0.383602963468342,0.006205741312790125,0.006205741312790125
RandomForest,Jigawa,2024,Seasonal_Rainfall_mm,1018.26,0.012293015983233267,0.012293015983233267
RandomForest,Jigawa,2024,Seasonal_GDD_C,3497.245,0.07792375789038795,0.07792375789038795
RandomForest,Jigawa,2024,Max_CDD_days,16.0,0.02056057139494281,0.02056057139494281
