Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Fold
RandomForest,Imo,2024,Rainfall_Anomaly_Z_2000_2019,-0.383602963468342,0.025706997406868427,0.025706997406868427,1
RandomForest,Kebbi,2020,Seasonal_Rainfall_mm,1098.97,0.04009462050034191,0.04009462050034191,1
RandomForest,Kebbi,2020,Seasonal_GDD_C,3345.455,0.11638869290356717,0.11638869290356717,1
RandomForest,Kebbi,2020,Max_CDD_days,13.0,0.0020148467473428996,0.0020148467473428996,1
RandomForest,Kebbi,2020,Mean_Tmax_C,32.88293478260869,0.03916531491028351,0.03916531491028351,1
RandomForest,Kebbi,2020,Mean_Tmin_C,23.48070652173913,0.07582581560813614,0.07582581560813614,1
RandomForest,Kebbi,2020,Mean_RH_pct,73.88619565217392,0.010207197514968878,0.010207197514968878,1
RandomForest,Kebbi,2020,Mean_Solar_Radiation_MJ_m2_day,20.12972826086957,-0.1251658556293008,0.1251658556293008,1
RandomForest,Kebbi,2020,Rainfall_Anomaly_Z_2000_2019,3.3367355138334545,0.00892855895876548,0.00892855895876548,1
RandomForest,Kebbi,2021,Seasonal_Rainfall_mm,920.31,0.03654577265812701,0.03654577265812701,1
RandomForest,Kebbi,2021,Seasonal_GDD_C,3519.02,0.1943380563756293,0.1943380563756293,1
RandomForest,Kebbi,2021,Max_CDD_days,17.0,0.013756491427094538,0.013756491427094538,1
RandomForest,Kebbi,2021,Mean_Tmax_C,34.18869565217391,0.04408756003185258,0.04408756003185258,1
RandomForest,Kebbi,2021,Mean_Tmin_C,24.06152173913044,-0.003529642125605729,0.003529642125605729,1
RandomForest,Kebbi,2021,Mean_RH_pct,68.49184782608695,-0.0326667071082349,0.0326667071082349,1
RandomForest,Kebbi,2021,Mean_Solar_Radiation_MJ_m2_day,21.076467391304348,0.025120934314162076,0.025120934314162076,1
RandomForest,Kebbi,2021,Rainfall_Anomaly_Z_2000_2019,1.6241463189720584,0.009646139027993663,0.009646139027993663,1
RandomForest,Kebbi,2022,Seasonal_Rainfall_mm,975.8,0.06472356727569147,0.06472356727569147,1
RandomForest,Kebbi,2022,Seasonal_GDD_C,3340.33,0.1440855491503367,0.1440855491503367,1
RandomForest,Kebbi,2022,Max_CDD_days,17.0,0.014192338634426925,0.014192338634426925,1
RandomForest,Kebbi,2022,Mean_Tmax_C,33.03179347826087,0.03946931944103229,0.03946931944103229,1
RandomForest,Kebbi,2022,Mean_Tmin_C,23.276141304347824,0.07755030722780692,0.07755030722780692,1
RandomForest,Kebbi,2022,Mean_RH_pct,72.70076086956522,0.01214157254637288,0.01214157254637288,1
RandomForest,Kebbi,2022,Mean_Solar_Radiation_MJ_m2_day,20.489239130434783,-0.05573242206865578,0.05573242206865578,1
RandomForest,Kebbi,2022,Rainfall_Anomaly_Z_2000_2019,2.1560593068980567,0.001319789310423895,0.001319789310423895,1
RandomForest,Kebbi,2023,Seasonal_Rainfall_mm,720.83,-0.07406165836472754,0.07406165836472754,1
RandomForest,Kebbi,2023,Seasonal_GDD_C,3586.71,0.17972860431936208,0.17972860431936208,1
RandomForest,Kebbi,2023,Max_CDD_days,14.0,0.013501251176761426,0.013501251176761426,1
RandomForest,Kebbi,2023,Mean_Tmax_C,34.64554347826088,0.03557218306133775,0.03557218306133775,1
RandomForest,Kebbi,2023,Mean_Tmin_C,24.340434782608693,-0.018659694915379565,0.018659694915379565,1
RandomForest,Kebbi,2023,Mean_RH_pct,67.71929347826088,-0.045444962231235515,0.045444962231235515,1
RandomForest,Kebbi,2023,Mean_Solar_Radiation_MJ_m2_day,21.040978260869565,0.01626767372921012,0.01626767372921012,1
RandomForest,Kebbi,2023,Rainfall_Anomaly_Z_2000_2019,-0.2880180859924044,0.0036404399084215516,0.0036404399084215516,1
RandomForest,Kebbi,2024,Seasonal_Rainfall_mm,2129.96,0.001203508777980186,0.001203508777980186,1
RandomForest,Kebbi,2024,Seasonal_GDD_C,3373.3050000000003,0.12928152789716976,0.12928152789716976,1
RandomForest,Kebbi,2024,Max_CDD_days,14.0,0.004147456377378433,0.004147456377378433,1
RandomForest,Kebbi,2024,Mean_Tmax_C,32.69858695652174,0.0413202322367291,0.0413202322367291,1
RandomForest,Kebbi,2024,Mean_Tmin_C,23.96777173913044,0.02892228257469662,0.02892228257469662,1
RandomForest,Kebbi,2024,Mean_RH_pct,77.36255434782608,0.010996769778492335,0.010996769778492335,1
RandomForest,Kebbi,2024,Mean_Solar_Radiation_MJ_m2_day,19.6483695652174,-0.1227532206683029,0.1227532206683029,1
RandomForest,Kebbi,2024,Rainfall_Anomaly_Z_2000_2019,13.219542711920042,-0.005592938091110866,0.005592938091110866,1
RandomForest,Niger,2020,Seasonal_Rainfall_mm,1264.06,0.03850779732074888,0.03850779732074888,1
RandomForest,Niger,2020,Seasonal_GDD_C,3610.925,0.25006868859857534,0.25006868859857534,1
RandomForest,Niger,2020,Max_CDD_days,11.0,-0.0021724864368667003,0.0021724864368667003,1
RandomForest,Niger,2020,Mean_Tmax_C,30.65976635514018,0.05208282235120816,0.05208282235120816,1
RandomForest,Niger,2020,Mean_Tmin_C,23.08719626168224,0.05049705172065361,0.05049705172065361,1
RandomForest,Niger,2020,Mean_RH_pct,80.98841121495329,0.042102228258527864,0.042102228258527864,1
RandomForest,Niger,2020,Mean_Solar_Radiation_MJ_m2_day,17.92752336448598,0.06285426011206438,0.06285426011206438,1
RandomForest,Niger,2020,Rainfall_Anomaly_Z_2000_2019,0.463901577301283,0.014548728486592657,0.014548728486592657,1
RandomForest,Niger,2021,Seasonal_Rainfall_mm,1391.2,-0.0006392537938309034,0.0006392537938309034,1
RandomForest,Niger,2021,Seasonal_GDD_C,3739.915,0.22971045651584318,0.22971045651584318,1
